graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,64,0,34,0,0,
c-fat200-1.clq,12,12.000000,12,0,4,14,27,0,14,0,0,
c-fat200-2.clq,24,24.000000,24,0,7,10,20,0,11,0,0,
gen200_p0.9_55.clq,55,55.000000,49,0,16,67,142,0,65,0,1,
hamming6-4.clq,4,4.000000,4,0,0,56,110,0,56,0,0,
san200_0.7_1.clq,30,30.000000,21,0,5,22,43,0,20,0,0,
san200_0.9_1.clq,70,70.000000,70,0,3,8,11,0,7,0,0,
san200_0.9_2.clq,60,60.000000,49,0,5,19,37,0,17,0,0,
c-fat500-10.clq,126,126.000000,126,0,10,8,10,0,7,0,0,
c-fat500-5.clq,64,64.000000,64,0,222,14,28,0,15,7,11,
c-fat200-5.clq,58,58.000000,58,0,62,75,177,0,90,0,5,
